YEAR,SEX,AGE,EDUC,SPEDUC,PAEDUC,MAEDUC,WGSTAT,SPINCMR,WGWKHR,WGUNN,WGNOEMP,RINCOME,KIDNUM10,CULTBIAS5,INDLIMIT,LEISUREI,DINNER,BLOODTYP,LOTR3
2003,1,31,3,-1,3,3,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,1,30,3,-1,1,1,1,-1,45,2,4,5,-1,-1,-1,-1,-1,-1,-1
2003,2,30,4,-1,2,1,1,-1,45,2,1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,34,6,-1,6,3,2,-1,20,2,6,6,-1,-1,-1,-1,-1,-1,-1
2003,1,34,5,5,4,3,1,1,50,2,2,4,-1,-1,-1,-1,-1,-1,-1
2003,2,30,5,-1,5,5,1,-1,60,2,3,4,-1,-1,-1,-1,-1,-1,-1
2003,1,33,5,5,5,5,-1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,1,68,5,5,5,5,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,41,5,5,1,1,1,1,44,2,3,6,-1,-1,-1,-1,-1,-1,-1
2003,1,51,6,3,1,0,1,2,44,2,6,7,-1,-1,-1,-1,-1,-1,-1
2003,2,21,5,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,32,5,5,3,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,33,3,3,3,3,-1,2,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
2003,1,52,3,2,1,1,1,2,44,1,9,7,-1,-1,-1,-1,-1,-1,-1
2003,2,44,3,-1,1,1,1,-1,40,2,1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,22,5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,48,2,2,0,0,3,1,65,2,3,3,-1,-1,-1,-1,-1,-1,-1
2003,2,24,5,-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,32,5,5,5,3,1,1,50,2,5,7,-1,-1,-1,-1,-1,-1,-1
2003,2,24,5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,49,3,3,1,1,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,50,3,3,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,77,1,1,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,21,5,-1,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
2003,2,40,3,-1,1,1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,2,23,4,-1,3,3,2,-1,20,2,2,1,-1,-1,-1,-1,-1,-1,-1
2003,2,27,5,5,5,5,1,1,40,2,1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,45,3,3,1,1,1,2,48,2,1,7,-1,-1,-1,-1,-1,-1,-1
2003,1,23,5,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,64,3,3,8,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,34,3,3,5,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,72,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,36,3,6,3,3,1,1,48,2,2,4,-1,-1,-1,-1,-1,-1,-1
2003,2,62,1,2,1,1,2,2,56,2,1,1,-1,-1,-1,-1,-1,-1,-1
2003,1,32,6,6,5,3,1,2,80,2,8,6,-1,-1,-1,-1,-1,-1,-1
2003,1,24,3,-1,3,2,1,-1,78,2,3,5,-1,-1,-1,-1,-1,-1,-1
2003,1,40,5,6,2,1,1,1,45,1,6,7,-1,-1,-1,-1,-1,-1,-1
2003,1,36,5,3,1,1,1,2,44,2,6,5,-1,-1,-1,-1,-1,-1,-1
2003,1,31,5,-1,3,3,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1
2003,1,24,5,-1,6,5,1,-1,90,2,4,3,-1,-1,-1,-1,-1,-1,-1
2003,2,64,3,5,5,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,36,3,3,0,0,1,1,54,2,1,2,-1,-1,-1,-1,-1,-1,-1
2003,1,41,2,2,0,0,3,1,50,2,3,3,-1,-1,-1,-1,-1,-1,-1
2003,2,43,4,6,3,3,-1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,1,46,3,2,0,0,1,1,70,2,4,4,-1,-1,-1,-1,-1,-1,-1
2003,1,47,6,6,6,1,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,1,60,2,2,8,0,2,2,90,2,4,2,-1,-1,-1,-1,-1,-1,-1
2003,1,50,6,5,1,1,-1,2,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1
2003,2,33,5,5,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,69,1,1,8,0,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2003,1,34,5,5,3,3,-1,2,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1
2003,1,39,5,5,5,3,-1,1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1
2003,2,34,4,4,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,36,5,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,20,3,-1,-8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,23,5,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,25,4,-1,1,2,2,-1,60,2,1,4,-1,-1,-1,-1,-1,-1,-1
2003,2,59,2,3,2,0,-1,1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
2003,2,32,3,3,2,1,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2003,1,30,4,5,3,3,1,2,56,2,5,5,-1,-1,-1,-1,-1,-1,-1
2003,2,78,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,33,3,3,3,2,-1,1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
2003,1,52,2,-1,1,1,3,-1,48,2,1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,25,3,-1,3,1,1,-1,80,2,8,3,-1,-1,-1,-1,-1,-1,-1
2003,1,20,5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,21,4,-1,3,3,2,-1,45,2,5,3,-1,-1,-1,-1,-1,-1,-1
2003,2,21,4,-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,55,3,5,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,68,5,5,8,0,2,2,36,2,4,5,-1,-1,-1,-1,-1,-1,-1
2003,1,22,4,-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,34,3,5,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,40,4,3,3,1,1,1,44,2,7,6,-1,-1,-1,-1,-1,-1,-1
2003,1,56,5,3,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,80,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,31,6,-1,0,0,1,-1,40,2,3,5,-1,-1,-1,-1,-1,-1,-1
2003,2,24,4,3,3,1,1,1,50,2,3,3,-1,-1,-1,-1,-1,-1,-1
2003,1,31,6,-1,2,1,1,-1,45,2,4,4,-1,-1,-1,-1,-1,-1,-1
2003,1,37,3,3,1,1,3,1,77,2,-8,4,-1,-1,-1,-1,-1,-1,-1
