id,year,Title,Authors
9201001,1992,Combinatorics of the Modular Group II: the Kontsevich integrals,C. Itzykson and J.-B. Zuber
9201002,1992,Inomogeneous Quantum Groups as Symmetries of Phonons,"F.Bonechi, E.Celeghini, R.Giachetti, E.Sorace and M.Tarlini"
9201003,1992,"Intersection Theory, Integrable Hierarchies and Topological Field Theory",Robbert Dijkgraaf
9201004,1992,"The Heterotic Green-Schwarz Superstring on an N=(2,0) Super-Worldsheet",Nathan Berkovits
9201005,1992,Ward Identities in Two-Dimensional String Theory,Igor R. Klebanov
9201006,1992,On Symmetries of Some Massless 2D Field Theories,Denis Bernard
9201007,1992,Static Domain Walls in N=1 Supergravity,"Mirjam Cvetic, Stephen Griffies, Soo-Jong Rey"
9201008,1992,Coulomb Gas Representations and Screening Operators of the N=4 Superconformal Algebras,Satoshi Matsuda
9201009,1992,Large-Small Equivalence in String Theory,Eva Silverstein
9201010,1992,From Virasoro Constraints in Kontsevich's Model to $\cal W$-constraints in 2-matrix Models,"A.Marshakov, A.Mironov and A.Morozov"
9201011,1992,On Equivalence of Topological and Quantum 2d Gravity,"A.Marshakov, A.Mironov and A.Morozov"
9201012,1992,The Asymptotics of the Correlations Functions in $(1+1)d$ Quantum Field Theory From Finite Size Effects in Conformal Theories,A.Mironov and A.Zabrodin
9201013,1992,Towards unified theory of $2d$ gravity,"S.Kharchev, A.Marshakov, A.Mironov, A.Morozov and A.Zabrodin"
9201014,1992,A Generalized Construction of Mirror Manifolds,"P. Berglund and T. H\""ubsch"
9201015,1992,An Algorithm to Generate Classical Solutions for String Effective Action,"S. Kar, S. Khastgir and A. Kumar"
9201016,1992,Bicovariant Differential Calculus on the Quantum D=2 Poincare Group,Leonardo Castellani
9201017,1992,A Note on Background (In)dependence,Nathan Seiberg and Stephen Shenker
9201018,1992,Discrete and Continuum Virasoro Constraints in Two-Cut Hermitian Matrix Models,Waichi Ogura
9201019,1992,The Coupling of Yang-Mills to Extended Objects,"J. A. Dixon, M. J. Duff, and E. Sezgin"
9201020,1992,The Superparticle and the Lorentz Group,A.S. Galperin and K.S. Stelle
9201021,1992,Scalar-Tensor Quantum Gravity in Two Dimensions,J. Russo and A.A. Tseytlin
9201022,1992,Anomalous Jacobian Factor in the Polyakov Measure for Abelian Gauge Field in Curved Spacetimes,Hiroki Fukutaka
9201023,1992,"$SL(\infty,R)$ Symmetry of $W_\infty$ Gravity",C.N. Pope
9201024,1992,A New Deformation of W-Infinity and Applications to the Two-loop WZNW and Conformal Affine Toda Models,"H. Aratyn, L.A. Ferreira, J.F. Gomes, A.H. Zimerman"
9201025,1992,Current Algebra of Classical Non-Linear Sigma Models,"M.Forger, J.Laartz, U.Schaeper"
9201026,1992,Classical A_n--W-Geometry,"Jean-Loup Gervais, and Yutaka Matsuo"
9201027,1992,Coset Constructions in Chern-Simons Gauge Theory,"J. M. Isidro, J. M. F. Labastida and A. V. Ramallo"
9201028,1992,Can a Lattice String Have a Vanishing Cosmological Constant?,Terry Gannon (Carleton University) and C.S. Lam (McGill University)
9201029,1992,Supersymmetric Black Holes,Renata Kallosh
9201030,1992,Supersymmetric Construction of W-Algebras from Super Toda and Wznw Theories,"L.A. Ferreira, J.F. Gomes, R.M. Ricotta and A.H. Zimerman"
9201031,1992,New Solutions to the Yang--Baxter Equation from Two--Dimensional Representations of $U_q(sl(2))$ at Roots of Unit,M.~Ruiz--Altaba
9201032,1992,The thermodynamic Bethe ansatz for deformed W$A_{N-1}$ conformal field theories,Marcio J. Martins
9201033,1992,The Multicritical Kontsevich-Penner Model,L. Chekhov and Yu. Makeenko
9201034,1992,Spectrum of Two-Dimensional (Super)Gravity,Katsumi Itoh and Nobuyoshi Ohta
9201035,1992,Separation of variables for the classical and quantum Neumann model,O. Babelon and M. Talon
9201036,1992,$G/G$--Topological Field Theories by Cosetting $G_k$,Mordechai Spiegelglas and Shimon Yankielowicz
9201037,1992,String Field Theory for d \leq 0 Matrix Models via Marinari-Parisi,Joshua Feinberg
9201038,1992,Rational vs Polynomial Character of W$_n^l$-Algebras,"L. Feher, L. O'Raifeartaigh, P. Ruelle and I. Tsutsui"
9201039,1992,Exact Bosonic and Supersymmetric String Black Hole Solutions,"I. Jack, D. R. T. Jones and J. Panvel"
9201040,1992,Target Space Duality as a Symmetry of String Field Theory,Taichiro Kugo and Barton Zwiebach
9201041,1992,On the Background Independence of String Field Theory: III. Explicit Field Redefinitions,Ashoke Sen
9201042,1992,Stabilizing the gravitational action and Coleman's solution to the cosmological constant problem,Alberto Carlini and Maurizio Martellini
9201043,1992,The phase of scalar field wormholes at one loop in the path integral formulation for Euclidean quantum gravity,Alberto Carlini and Maurizio Martellini
9201044,1992,Strings below the Planck scale,M.A.R. Osorio and M.A. Vazquez-Mozo
9201045,1992,Orbits of a String around a Fivebrane,Ramzi R. Khuri and HoSeong La
9201046,1992,String Motion in Fivebrane Geometry,Ramzi R. Khuri and HoSeong La
9201047,1992,"Duality-Invariant Gaugino Condensation and One-Loop Corrected Kahler Potentials in String Theory, Dieter Lust and Carlos Munoz",18 pages
9201048,1992,The Chern-Simons Source as a Conformal Family and Its Vertex Operators,"A.P.Balachandran, G.Bimonte, K.S.Gupta and A.Stern"
9201049,1992,Light-Cone Gauge for 1+1 Strings,Eric Smith
9201050,1992,The Complete Spectrum of the $W_N$ String,"H. Lu, C.N. Pope, S. Schrans and K.W. Xu"
9201051,1992,The Lie-Poisson Structure of Integrable Classical Non-Linear Sigma Models,"M. Bordemann, M. Forger, J. Laartz, U. Schaeper"
9201052,1992,Gauge Transformations in String Field Theory and canonical Transformation in String Theory,J. Maharana and S. mukherji
9201053,1992,Comments on No-Hair Theorems and Stabilty of Blackholes,S.P. de Alwis
9201054,1992,Temperature Dependence of String Theory in the Presence of World-Sheet Boundaries,Michael B. Green
9201055,1992,"Addendum to the paper ""Combinatorics of the modular group II: the Kontsevich integrals""",C. Itzykson and J.-B. Zuber
9201056,1992,Algebraic Structures and Differential Geometry in 2D String Theory,Edward Witten and Barton Zwiebach
9201057,1992,Classical and Quantum W-Gravity,C. M. Hull
9201058,1992,The Secret Chern-Simons Action for the Hot Gluon Plasma,R.Efraty and V.P.Nair
9201059,1992,Quantum Hair on Black Holes,"Sidney Coleman, John Preskill, and Frank Wilczek"
9201060,1992,Lax Pair Formulation of the W-gravity Theories in two Dimensions,J.M. Lina and P.K. Panigrahi
9201061,1992,Are Horned Particles the Climax of Hawking Evaporation?,"T.Banks, A. Dabolkhar, M.R. Douglas, M. O' Loughlin (Rutgers U)"
9201062,1992,Poisson bracket algebra for chiral group elements in the WZNW model,"G. Bimonte, P. Salomonson, A. Simoni, A. Stern"
9201063,1992,Are Textures Natural?,Marc Kamionkowski and John March-Russell
9201064,1992,Perturbing the Ground Ring of 2-D String Theory,J.L.F. Barb\'on
9201065,1992,Coupling of Tachyons and Discrete States in $c = 1$ 2-D Gravity,"Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii"
9201066,1992,Interaction of Tachyons and Discrete States in c=1 2-D Quantum Gravity,"Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii"
9201067,1992,Exact S-Matrices for Nonsimply-Laced Affine Toda Theories,"G. W. Delius, M.T. Grisaru and D. Zanon"
9201068,1992,On the Black-Hole Conformal Field Theory Coupled to the Polyakov's String Theory. A Non Perturbative Analysis,"M. Martellini, M. Spreafico and K. Yoshida"
9201069,1992,A continuum string model for $D>1$,"M. Martellini, M. Spreafico and K. Yoshida"
9201070,1992,Induced $W_{\infty}$ Gravity as a WZNW Model,"E.Nissimov, S.Pacheva and I.Vaysburd"
9201071,1992,"SO(2,C) invariant ring structure of BRST cohomology and singular vectors in 2D gravity with c < 1 matter","N. Chair, V.K. Dobrev and H. Kanno"
9201072,1992,Quantum Rings and Recursion Relations in 2D Quantum Gravity,Shamit Kachru
9201073,1992,All-orders wormhole vertex operators from the Wheeler-deWitt equation,Alex Lyons
9201074,1992,Black Hole Evaporation in 1+1 Dimensions,"J. Russo, L. Susskind and L. Thorlacius"
9201075,1992,"Topology change in ISO(2,1) Chern-Simons gravity",K.Amano and S.Higuchi
9201076,1992,Dilaton Contact Terms in the Bosonic and Heterotic Strings,Mark Doyle (Princeton University)
9201077,1992,Remarks on the Physical States and the Chiral Algebra of 2D Gravity Coupled to $C \leq 1$ Matter,Vl.S.Dotsenko
9201078,1992,New Jacobi-Like Identities for Z_k Parafermion Characters,"Philip C. Argyres, Keith R. Dienes, and S.-H. Henry Tye"
9201079,1992,Fusion and singular vectors in A1{(1)} highest weight cyclic modules,M. Bauer and N. Sochen
9201080,1992,Solutions of the Knizhnik - Zamolodchikov Equation with Rational Isospins and the Reduction to the Minimal Models,"P. Furlan, A. Ch. Ganchev, R. Paunov, V. B. Petkova"
9202001,1992,Fractional quantum Hall effect and nonabelian statistics,N. Read and G. Moore
9202002,1992,Chiral Gauged WZW Theories and Coset Models in Conformal Field Theory,Stephen-wei Chung and S.-H. Henry Tye
9202003,1992,Planck-Scale Physics and the Peccei-Quinn Mechanism,Marc Kamionkowski and John March-Russell
9202004,1992,Dynamics of Extremal Black Holes,S.B. Giddings and A. Strominger
9202005,1992,Exact Solutions of Four Dimensional Black Holes in String Theory,David Gershon
9202006,1992,A Hint on the External Field Problem for Matrix Models,L. Chekhov and Yu. Makeenko
9202007,1992,Construction of the K=8 Fractional Superconformal Algebras,"Philip C. Argyres, James M. Grochocinski, and S.-H. Henry Tye"
9202008,1992,Two Dimensional String Theory and the Topological Torus,Petr Horava
9202009,1992,String Theories on the Asymmetric Orbifolds with Twist-Untwist Intertwining Currents,"Y. Imamura, M. Sakamoto, T. Sasada and M. Tabuse"
9202010,1992,Toward a Conformal Field Theory for the Quantum Hall Effect,G. Nagao
9202011,1992,Scattering and Thermodynamics of Integrable N=2 Theories,P. Fendley and K. Intriligator
9202012,1992,One-Dimensional Fermions as Two-Dimensional Droplets Via Chern-Simons Theory,"Satoshi Iso, Dimitra Karabali and B. Sakita"
9202013,1992,Deformed Conformal and Supersymmetric Quantum Mechanics,V.Spiridonov
9202014,1992,Black Holes as Elementary Particles,C.F.E. Holzhey and F. Wilczek
9202015,1992,Interpolating String Field Theories,Barton Zwiebach
9202016,1992,Path Intergals and Perturbative Expansions for Non-Compact Symmetric Spaces,Noah Linden and Malcolm Perry
9202017,1992,Rational Curves on Calabi-Yau Threefolds,Sheldon Katz
9202018,1992,Jones Polynomials for Intersecting Knots as Physical States of Quantum Gravity,"Bernd Bruegmann, Rodolfo Gambini, Jorge Pullin"
9202019,1992,D=0 Matrix Model as Conjugate Field Theory,Shahar Ben-Menahem (SLAC)
9202020,1992,"Thermodynamic Bethe Ansatz for G_k x G_l / G_{k+l} Coset Models Perturbed by Their \phi_{1,1,Adj} Operator",F.Ravanini
9202021,1992,The Master Equation of 2D String Theory,Erik Verlinde
9202022,1992,Recent Developments in Non-Perturbative Quantum Gravity,Lee Smolin
9202023,1992,The Emergence of Radiation from Gravitational Potential Wells: The Absence of $\omega M$ Effects,Richard H. Price and Jorge Pullin
9202024,1992,Spinning Braid Group Representation and the Fractional Quantum Hall Effect,Christopher Ting and C. H. Lai
9202025,1992,BRST Field Theory of Relativistic Particles,J.W. van Holten
9202026,1992,$CP^N$ Model With a Chern-Simons Term,G. Ferretti and S.G. Rajeev
9202027,1992,A Conformal Field Theory for the Quantum Hall Effect,G. Nagao
9202028,1992,RG Flows of Non-Unitary Minimal CFTs,Changrim Ahn
9202029,1992,Spin Singlet Quantum Hall Effect and Nonabelian Landau-Ginzburg Theory,"Alexander Balatsky (Los Alamos National Laboratory,Theoretical Division and Landau Institute for Theoretical Physics, Moscow, USSR)"
9202030,1992,Stochastic Quantization of the Chern-Simons Theory,"L.F. Cugliandolo, G.L. Rossini and F.A. Schaposnik"
9202031,1992,Black Holes in Higher Derivative Gravity Theories,S. Mignemi & D.L. Wiltshire
9202032,1992,Screening Currents Ward Identity and Integral Formulas for the WZNW Correlation Functions,Hidetoshi Awata
9202033,1992,The Canonical Structure of Wess-Zumino-Witten Models,G. Papadopoulos and B. Spence
9202034,1992,Kinks in Finite Volume,Timothy R. Klassen and Ezer Melzer
9202035,1992,"Remarks on the BRST-cohomology for $c_M > 1$ matter coupled to ``Liouville gravity""",Adel Bilal
9202036,1992,Holonomy groups and W-symmetries,P.S. Howe and G. Papadopoulos
9202037,1992,"Splitting of an Extremal Reissner-Nordstr\""om Throat via Quantum Tunneling",Dieter R. Brill
9202038,1992,A Topological Model for Two Dimensional Gravity Coupled to Matter,"L. F. Cugliandolo, F. A. Schaposnik, H. Vucetich"
9202039,1992,On the Classification of Quasihomogeneous Functions,Maximilian Kreuzer and Harald Skarke
9202040,1992,The Classical Limit of W-Algebras,Jose M. Figueroa-O'Farrill and Eduardo Ramos
9202041,1992,Exact Critical Exponents of the Staircase Model,Michael Lassig
9202042,1992,The two-dimensional O(3) nonlinear $\sigma$-model at finite temperature,Marcio J.Martins
9202043,1992,Chiral Bosons Through Linear Constraints,"H.O. Girotti, M. Gomes and V.O. Rivelles"
9202045,1992,An Alternative Scenario for Non-Abelian Quantum Hair,Amitabha Lahiri
9202046,1992,"Duality Anomaly Cancellation, Minimal String Unification and the Effective Low-Energy Lagrangian of 4-D Strings",Luis E. Ibanez and Dieter Luest
9202047,1992,"Quasi-Quantum Groups, Knots, Three-Manifolds, and Topological Field Theory",Daniel Altschuler and Antoine Coste
9202048,1992,Bloch Electron in a Magnetic Field : Diagonalization of Tight-Binding Models,Alexander Moroz
9202049,1992,Non-critical NSR string field theory and discrete states interaction in 2D supergravity,I.Ya.Aref'eva and A.P.Zubarev
9202050,1992,The Marinari-Parisi Model and Collective Field Theory,J.D. Cohn and H. Dykstra
9202051,1992,Classical {\it vs.}\ Landau-Ginzburg Geometry of Compactification,"P.~Berglund, B.R.~Greene and T.~H\""ubsch"
9202052,1992,Topological Spin-Statistics Theorem for Strings,"A.P.Balachandran, W.D.McGlinn, L.O'Raifeartaigh, S.Sen, R.D.Sorkin, A.M.Srivastava"
9202053,1992,Representations of the holonomy algebras of gravity and non-Abelian gauge theories,Abhay Ashtekar and C.J. Isham
9202054,1992,Gravitons and Loops,"Abhay Ashtekar, Carlo Rovelli and Lee Smolin"
9202055,1992,Canonical Quantization of 2d Gravity Coupled to c<1 Matter,A. Mikovic
9202056,1992,Universal Field Equations with Reparametrisation Invariance,D.B. Fairlie and J. Govaerts
9202057,1992,Exchange Operator Formalism for Integrable Systems of Particles,Alexios P. Polychronakos
